resume_id,score,coverage,decision
1075,23.98,0.53,Rejected
570,23.98,0.47,Rejected
175,23.96,0.53,Rejected
2007,23.92,0.47,Rejected
1709,23.88,0.53,Rejected
77,23.87,0.53,Rejected
2215,23.82,0.53,Rejected
2476,23.8,0.53,Rejected
1002,23.8,0.53,Rejected
706,23.79,0.53,Rejected
872,23.79,0.47,Rejected
2140,23.77,0.53,Rejected
1596,23.76,0.53,Rejected
1539,23.76,0.53,Rejected
1142,23.75,0.53,Rejected
1119,23.71,0.53,Rejected
1772,23.7,0.53,Rejected
1750,23.68,0.47,Rejected
2009,23.66,0.4,Rejected
2093,23.65,0.53,Rejected
202,23.64,0.53,Rejected
1696,23.63,0.53,Rejected
1196,23.61,0.53,Rejected
1763,23.59,0.53,Rejected
332,23.56,0.47,Rejected
1636,23.56,0.47,Rejected
512,23.56,0.53,Rejected
334,23.52,0.53,Rejected
349,23.51,0.53,Rejected
754,23.5,0.53,Rejected
2072,23.5,0.53,Rejected
1619,23.49,0.53,Rejected
67,23.49,0.53,Rejected
1801,23.48,0.47,Rejected
600,23.48,0.53,Rejected
226,23.46,0.4,Rejected
1124,23.45,0.53,Rejected
1453,23.45,0.53,Rejected
2394,23.44,0.53,Rejected
968,23.44,0.53,Rejected
2294,23.43,0.53,Rejected
1862,23.42,0.53,Rejected
1279,23.41,0.53,Rejected
318,23.4,0.47,Rejected
967,23.38,0.53,Rejected
1996,23.38,0.47,Rejected
2002,23.36,0.53,Rejected
2188,23.35,0.53,Rejected
2436,23.35,0.47,Rejected
197,23.35,0.53,Rejected
753,23.34,0.47,Rejected
2443,23.28,0.53,Rejected
1608,23.28,0.53,Rejected
1371,23.27,0.53,Rejected
1768,23.27,0.47,Rejected
2053,23.27,0.53,Rejected
2348,23.22,0.53,Rejected
645,23.22,0.53,Rejected
1084,23.21,0.53,Rejected
1081,23.21,0.53,Rejected
1139,23.2,0.47,Rejected
2242,23.18,0.53,Rejected
253,23.16,0.53,Rejected
1685,23.16,0.53,Rejected
1193,23.15,0.53,Rejected
1294,23.14,0.53,Rejected
680,23.13,0.53,Rejected
241,23.11,0.53,Rejected
